Data	Último	Abertura	Máxima	Mínima	Vol.	Var%	MÊS
fev/15	95,32	94,58	95,85	93,25	-	0,55%	2
mar/15	98,36	95,38	100,39	95,06	-	3,19%	3
abr/15	94,6	98,42	99,99	94,4	-	-3,82%	4
mai/15	96,91	94,83	97,78	93,13	-	2,44%	5
jun/15	95,48	96,9	97,68	93,56	-	-1,48%	6
jul/15	97,34	95,58	98,15	95,45	-	1,95%	7
ago/15	95,82	97,22	98,33	92,62	-	-1,56%	8
set/15	96,35	95,93	96,7	94,06	-	0,55%	9
out/15	96,95	96,27	97,82	93,81	-	0,62%	10
nov/15	100,17	96,69	100,31	96,64	-	3,32%	11
dez/15	98,63	100,23	100,51	97,19	-	-1,54%	12
jan/16	99,61	98,59	99,83	98,05	-	0,99%	1
fev/16	98,21	99,55	99,63	95,24	-	-1,41%	2
mar/16	94,59	98,18	98,58	94,32	-	-3,69%	3
abr/16	93,08	94,64	95,2	93,01	-	-1,60%	4
mai/16	95,89	93,02	95,97	91,92	-	3,02%	5
jun/16	96,14	95,81	96,7	93,02	-	0,26%	6
jul/16	95,53	95,89	97,57	95,34	-	-0,63%	7
ago/16	96,02	95,59	96,52	94,08	-	0,51%	8
set/16	95,46	95,98	96,33	94,47	-	-0,58%	9
out/16	98,44	95,54	99,12	95,46	-	3,12%	10
nov/16	101,5	98,39	102,05	95,89	-	3,11%	11
dez/16	102,21	101,52	103,65	99,43	-	0,70%	12
jan/17	99,51	102,38	103,82	99,43	-	-2,64%	1
fev/17	101,12	99,56	101,76	99,23	-	1,62%	2
mar/17	100,35	101,43	102,26	98,86	-	-0,76%	3
abr/17	99,05	100,5	101,34	98,69	-	-1,30%	4
mai/17	96,92	98,93	99,89	96,8	-	-2,15%	5
jun/17	95,63	96,99	97,87	95,47	-	-1,33%	6
jul/17	92,86	95,65	96,51	92,78	-	-2,90%	7
ago/17	92,67	92,89	94,14	91,62	-	-0,20%	8
set/17	93,08	92,61	93,67	91,01	-	0,44%	9
out/17	94,55	93,22	95,15	92,75	-	1,58%	10
nov/17	93,05	94,55	95,15	92,5	-	-1,59%	11
dez/17	92,12	93,03	94,22	92,08	-	-1,00%	12
jan/18	89,13	92,24	92,64	88,44	-	-3,25%	1
fev/18	90,61	89,04	90,7	88,25	-	1,66%	2
mar/18	89,97	90,67	90,93	88,94	-	-0,71%	3
abr/18	91,84	89,97	91,99	89,23	-	2,08%	4
mai/18	93,98	91,81	95,03	91,8	-	2,33%	5
jun/18	94,64	93,95	95,53	93,19	-	0,70%	6
jul/18	94,49	94,63	95,65	93,71	-	-0,16%	7
ago/18	95,14	94,56	96,98	94,43	-	0,69%	8
set/18	95,13	95,19	95,74	93,81	-	-0,01%	9
out/18	97,13	95,11	97,2	94,79	-	2,10%	10
nov/18	97,27	97,08	97,69	95,68	-	0,14%	11
dez/18	96,17	97,13	97,71	96	-	-1,13%	12
jan/19	95,58	96,15	96,96	95,03	-	-0,61%	1
fev/19	96,16	95,55	97,37	95,4	-	0,61%	2
mar/19	97,28	96,22	97,71	95,74	-	1,16%	3
abr/19	97,48	97,18	98,33	96,75	-	0,21%	4
mai/19	97,75	97,53	98,37	97,03	-	0,28%	5
jun/19	96,13	97,64	97,8	95,84	-	-1,66%	6
jul/19	98,52	96,25	98,68	96,25	-	2,49%	7
ago/19	98,92	98,59	99,02	97,03	-	0,41%	8
set/19	99,38	98,83	99,46	97,86	-	0,47%	9
out/19	97,35	99,4	99,67	97,14	-	-2,04%	10
nov/19	98,27	97,3	98,54	97,11	-	0,95%	11
dez/19	96,39	98,27	98,38	96,36	-	-1,91%	12
jan/20	97,39	96,5	98,19	96,39	-	1,04%	1
fev/20	98,13	97,37	99,91	97,37	-	0,76%	2
mar/20	99,05	98,12	102,99	94,65	-	0,94%	3
abr/20	99,02	99,01	100,93	98,81	-	-0,03%	4
mai/20	98,34	99,13	100,56	97,94	-	-0,69%	5
jun/20	97,39	98,3	98,32	95,72	-	-0,97%	6
jul/20	93,35	97,39	97,62	92,55	-	-4,15%	7
ago/20	92,14	93,45	93,99	91,99	-	-1,30%	8
set/20	93,89	92,18	94,74	91,75	-	1,90%	9
out/20	94,04	93,8	94,1	92,47	-	0,16%	10
nov/20	91,87	93,89	94,3	91,51	-	-2,31%	11
dez/20	89,94	91,94	91,94	89,52	-	-2,10%	12
jan/21	90,58	89,93	90,95	89,21	-	0,71%	1
fev/21	90,88	90,53	91,6	89,68	-	0,33%	2
mar/21	93,23	90,93	93,44	90,63	-	2,59%	3
abr/21	91,28	93,22	93,34	90,42	-	-2,09%	4
mai/21	90,03	91,3	91,44	89,53	-	-1,37%	5
jun/21	92,44	89,81	92,45	89,66	-	2,67%	6
jul/21	92,17	92,35	93,19	91,78	-	-0,28%	7
ago/21	92,63	92,09	93,73	91,82	-	0,49%	8
set/21	94,23	92,66	94,5	91,95	-	1,73%	9
out/21	94,12	94,31	94,56	93,28	-	-0,11%	10
nov/21	96,03	94,17	96,94	93,82	-	2,03%	11
